gwno,year,month,sb_events,sb_deaths,ns_events,ns_deaths,os_events,os_deaths,provisional
640,1993,2,6,35,0,0,4,10,0
640,1993,3,17,75,0,0,3,9,0
640,1993,4,7,30,0,0,0,0,0
640,1993,5,12,150,0,0,2,4,0
640,1993,6,53,244,0,0,15,34,0
640,1993,7,51,293,0,0,9,87,0
640,1993,8,51,408,0,0,27,83,0
640,1993,9,67,327,0,0,10,26,0
640,1993,10,54,399,0,0,24,137,0
640,1993,11,40,179,0,0,4,6,0
640,1993,12,26,132,0,0,2,14,0
640,1994,1,47,267,0,0,8,35,0
640,1994,2,25,102,0,0,4,18,0
640,1994,3,37,292,0,0,1,1,0
640,1994,4,59,574,0,0,4,6,0
640,1994,5,60,498,0,0,4,25,0
640,1994,6,44,261,0,0,2,2,0
640,1994,7,60,534,0,0,3,19,0
640,1994,8,57,410,0,0,6,30,0
640,1994,9,54,299,0,0,8,37,0
640,1994,10,62,377,0,0,4,15,0
640,1994,11,54,274,0,0,3,16,0
640,1994,12,30,87,0,0,2,3,0
640,1995,1,22,99,0,0,1,2,0
640,1995,2,37,249,0,0,0,0,0
640,1995,3,44,221,0,0,1,4,0
640,1995,4,71,448,0,0,4,13,0
640,1995,5,80,265,0,0,2,13,0
640,1995,6,108,627,0,0,3,10,0
640,1995,7,121,480,0,0,1,2,0
640,1995,8,82,253,0,0,3,11,0
640,1995,9,83,431,0,0,1,4,0
640,1995,10,88,352,0,0,1,2,0
640,1995,11,34,79,0,0,1,3,0
640,1995,12,28,82,0,0,0,0,0
640,1996,1,20,74,0,0,0,0,0
640,1996,2,11,27,0,0,0,0,0
640,1996,3,22,56,0,0,0,0,0
640,1996,4,58,493,0,0,1,3,0
640,1996,5,53,273,0,0,0,0,0
640,1996,6,73,490,0,0,1,1,0
640,1996,7,90,338,0,0,1,4,0
640,1996,8,84,855,0,0,3,13,0
640,1996,9,77,446,0,0,1,5,0
640,1996,10,75,374,0,0,2,6,0
640,1996,11,55,265,0,0,1,3,0
640,1996,12,19,85,0,0,0,0,0
640,1997,1,27,215,0,0,0,0,0
640,1997,2,12,13,0,0,0,0,0
640,1997,3,23,198,0,0,0,0,0
640,1997,4,40,287,0,0,0,0,0
640,1997,5,43,384,0,0,1,4,0
640,1997,6,62,306,0,0,2,7,0
640,1997,7,62,255,0,0,1,4,0
640,1997,8,46,262,0,0,1,2,0
640,1997,9,53,203,0,0,0,0,0
640,1997,10,43,192,0,0,1,2,0
640,1997,11,52,173,0,0,0,0,0
640,1997,12,29,93,0,0,0,0,0
640,1998,1,18,104,0,0,0,0,0
640,1998,2,21,105,0,0,0,0,0
640,1998,3,25,154,0,0,0,0,0
640,1998,4,30,206,0,0,0,0,0
640,1998,5,49,245,0,0,0,0,0
640,1998,6,48,219,0,0,0,0,0
640,1998,7,25,129,0,0,4,18,0
640,1998,8,34,263,0,0,0,0,0
640,1998,9,23,125,0,0,1,1,0
640,1998,10,18,193,0,0,0,0,0
640,1998,11,25,236,0,0,3,6,0
640,1998,12,4,54,0,0,0,0,0
640,1999,1,12,72,0,0,0,0,0
640,1999,2,21,121,0,0,1,3,0
640,1999,3,22,82,0,0,1,13,0
640,1999,4,24,106,0,0,0,0,0
640,1999,5,29,185,0,0,0,0,0
640,1999,6,39,154,0,0,0,0,0
640,1999,7,47,170,0,0,6,16,0
640,1999,8,30,87,0,0,2,7,0
640,1999,9,19,86,0,0,0,0,0
640,1999,10,4,12,0,0,0,0,0
640,1999,11,5,15,0,0,0,0,0
640,1999,12,5,26,0,0,0,0,0
640,2000,1,1,12,0,0,0,0,0
640,2000,3,5,27,0,0,0,0,0
640,2000,4,2,9,0,0,0,0,0
640,2000,5,3,13,0,0,0,0,0
640,2000,6,3,18,0,0,0,0,0
640,2000,7,1,2,0,0,0,0,0
640,2000,8,4,20,0,0,0,0,0
640,2000,9,3,8,0,0,0,0,0
640,2000,10,5,29,0,0,0,0,0
640,2000,11,4,11,0,0,0,0,0
640,2000,12,2,4,0,0,0,0,0
640,2001,1,7,13,0,0,0,0,0
640,2001,2,3,6,0,0,0,0,0
640,2001,3,2,19,0,0,0,0,0
640,2001,4,4,23,0,0,0,0,0
640,2001,5,6,29,0,0,0,0,0
640,2001,6,7,14,0,0,0,0,0
640,2001,7,3,4,0,0,0,0,0
640,2001,8,3,3,0,0,0,0,0
640,2001,9,9,17,0,0,0,0,0
640,2001,10,4,10,0,0,0,0,0
640,2001,11,1,1,0,0,0,0,0
640,2002,1,6,8,0,0,0,0,0
640,2002,3,2,4,0,0,0,0,0
640,2002,4,2,1,0,0,0,0,0
640,2002,5,7,8,0,0,0,0,0
640,2002,6,2,2,0,0,0,0,0
640,2002,7,8,14,0,0,0,0,0
640,2002,8,1,4,0,0,0,0,0
640,2002,9,2,2,0,0,0,0,0
640,2002,10,6,9,0,0,0,0,0
640,2002,12,3,3,0,0,0,0,0
640,2003,1,4,17,0,0,0,0,0
640,2003,4,3,2,0,0,0,0,0
640,2003,5,6,8,0,0,0,0,0
640,2003,6,10,15,0,0,0,0,0
640,2003,7,4,7,0,0,1,1,0
640,2003,8,9,22,0,0,0,0,0
640,2003,9,3,5,0,0,0,0,0
640,2003,10,7,12,0,0,0,0,0
640,2003,11,16,64,0,0,3,44,0
640,2003,12,4,10,0,0,0,0,0
640,2004,1,3,3,0,0,0,0,0
640,2004,2,5,6,0,0,0,0,0
640,2004,3,2,5,0,0,0,0,0
640,2004,4,10,20,0,0,0,0,0
640,2004,5,16,24,0,0,0,0,0
640,2004,6,34,49,0,0,0,0,0
640,2004,7,16,28,0,0,1,1,0
640,2004,8,15,34,0,0,0,0,0
640,2004,9,14,44,0,0,0,0,0
640,2004,10,33,41,0,0,0,0,0
640,2004,11,11,15,0,0,0,0,0
640,2004,12,3,4,0,0,0,0,0
640,2005,1,5,20,0,0,0,0,0
640,2005,2,2,2,0,0,0,0,0
640,2005,3,5,6,0,0,0,0,0
