gwno,year,battle_deaths
816,1969,71252
816,1970,73156
816,1971,69806
816,1972,120243
816,1973,77254
816,1974,93870
816,1975,14689
816,1978,27
816,1979,22500
816,1980,100
816,1984,250
816,1988,50
817,1955,5800
817,1956,5800
817,1957,5800
817,1958,5800
817,1959,5800
817,1960,5800
817,1961,7775
817,1962,21912
817,1963,55128
817,1964,45308
817,1965,35213
817,1966,38981
817,1967,43746
817,1968,92312
817,1969,71252
817,1970,73156
817,1971,69806
817,1972,120243
817,1973,77254
817,1974,93870
817,1975,14689
820,1948,838
820,1949,1182
820,1950,1687
820,1951,2116
820,1952,1761
820,1953,1136
820,1954,907
820,1955,561
820,1956,384
820,1957,273
820,1958,166
820,1959,25
820,1960,13
820,1963,92
820,1964,92
820,1965,92
820,1966,92
820,1974,100
820,1975,156
820,1981,100
835,1962,45
840,1946,1077
840,1947,1077
840,1948,1077
840,1949,1077
840,1950,1077
840,1951,1077
840,1952,1077
840,1953,1078
840,1954,1078
840,1990,405
840,1994,100
840,1997,100
840,1998,100
840,1999,100
840,2001,550
840,2004,265
840,2005,200
840,2006,430
840,2007,465
840,2008,562
850,1958,13354
850,1959,6696
850,1960,6697
850,1961,6697
850,1963,92
850,1964,92
850,1965,92
850,1966,92
850,1975,5357
850,1976,8190
850,1977,8190
850,1978,8191
850,1979,5357
850,1980,5357
850,1981,5357
850,1982,5357
850,1983,5357
850,1984,5357
850,1985,5357
850,1986,5357
850,1987,5358
850,1988,5358
850,1990,1150
850,1991,1150
850,1999,300
850,2000,194
850,2001,205
850,2002,112
850,2003,478
850,2004,738
850,2005,213
900,2003,3385
910,1989,44
910,1990,100
910,1992,56
910,1993,40
910,1994,25
910,1995,35
910,1996,89
